Item,Location,Payment Method,Transaction ID,Transaction_Date,Sum of Total_Sales,Sum of Quantity,Sum of Price Per Unit
Cake,Takeaway,Cash,TXN_3986876,2023-11-06 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_4200340,2023-07-06 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_4262142,2023-01-02 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_4292280,2023-01-01 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_4310310,2023-03-08 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_4552615,2023-04-09 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_4690833,2023-05-23 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_4767006,2023-08-23 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_4832163,2023-11-17 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_4897182,2023-11-26 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_4940237,2023-08-03 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_4980036,2023-01-05 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_5072031,2023-03-23 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_6035512,2023-02-19 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_6225305,2023-05-05 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_6262910,2023-07-02 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_6421446,2023-09-17 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_6539480,2023-08-25 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_6602557,2023-02-06 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_7054849,2023-06-16 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_7248722,2023-04-06 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_7321946,2023-02-12 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_7362525,2023-06-09 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_7809290,2023-10-14 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_7810285,2023-10-25 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_7875743,2023-04-17 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_7956243,2023-05-23 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_8014645,2023-07-06 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_8076559,2023-11-02 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_8361255,2023-07-29 00:00:00,9,3,3
Cake,Takeaway,Cash,TXN_8398059,2023-10-15 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_8495889,2023-06-26 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_8571235,2023-03-01 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_8659963,2023-01-21 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_8749775,2023-10-30 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_8789986,2023-09-21 00:00:00,6,2,3
Cake,Takeaway,Cash,TXN_8961155,2023-09-06 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_9097641,2023-12-16 00:00:00,12,4,3
Cake,Takeaway,Cash,TXN_9315755,2023-09-26 00:00:00,15,5,3
Cake,Takeaway,Cash,TXN_9657636,2023-07-08 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_9921708,2023-07-20 00:00:00,3,1,3
Cake,Takeaway,Cash,TXN_9931637,2023-09-17 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_1050083,2023-06-28 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_1190402,2023-12-01 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_1248436,2023-08-14 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_1448501,2023-09-10 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_1469462,2023-09-05 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_1542042,2023-07-26 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_1655100,2023-12-20 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_1797690,2023-08-10 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_1898102,2023-10-17 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_1923984,2023-08-31 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_1938148,2023-06-07 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_2052609,2023-06-23 00:00:00,,4,
Cake,Takeaway,Credit Card,TXN_2370338,2023-10-30 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_2413626,2023-11-06 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_2436779,2023-05-24 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_2438638,2023-08-12 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_2539469,2023-09-24 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_2682803,2023-04-09 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_2875074,2023-02-06 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_2903973,2023-12-26 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_3224756,2023-11-20 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_3270584,2023-01-10 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_3305132,2023-01-30 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_3639760,2023-01-29 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_3730415,2023-04-09 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_3964398,2023-10-20 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_4031726,2023-11-22 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_4183749,2023-01-25 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_4291132,2023-08-07 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_4310629,2023-10-02 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_4369292,2023-10-09 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_4613510,2023-02-16 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_4998786,2023-10-25 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_5101593,2023-01-25 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_5103644,2023-04-17 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_5268203,2023-03-04 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_5537740,2023-04-30 00:00:00,,,3
Cake,Takeaway,Credit Card,TXN_5747859,2023-03-13 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_5852244,2023-10-15 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_5966765,2023-11-09 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_6068564,2023-09-28 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_6182856,2023-04-02 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_6259827,2023-06-14 00:00:00,,2,
Cake,Takeaway,Credit Card,TXN_6265760,2023-06-21 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_6368719,2023-01-03 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_6420902,2023-11-22 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_6450138,2023-04-13 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_6499084,2023-03-15 00:00:00,,4,
Cake,Takeaway,Credit Card,TXN_6899834,2023-01-27 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_7126770,2023-11-09 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_7493800,2023-08-16 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_7538221,2023-03-31 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_7585348,2023-03-16 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_7753587,2023-03-28 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_7880148,2023-12-12 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_7896721,2023-04-22 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_7981162,2023-05-30 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_8536115,2023-07-11 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_8608811,2023-01-05 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_8649416,2023-09-21 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_8732269,2023-01-11 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_8750849,2023-03-03 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_8765822,2023-03-22 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_8793244,2023-05-08 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_8794205,2023-10-22 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_8860052,2023-07-18 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_8952145,2023-01-28 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_8966400,2023-11-29 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_8992377,2023-07-12 00:00:00,,4,
Cake,Takeaway,Credit Card,TXN_9054074,2023-10-15 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_9277276,2023-09-15 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_9300970,2023-03-06 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_9403754,2023-06-19 00:00:00,15,5,3
Cake,Takeaway,Credit Card,TXN_9425645,2023-03-19 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_9649503,2023-01-02 00:00:00,3,1,3
Cake,Takeaway,Credit Card,TXN_9660362,2023-08-16 00:00:00,6,2,3
Cake,Takeaway,Credit Card,TXN_9774691,2023-04-11 00:00:00,9,3,3
Cake,Takeaway,Credit Card,TXN_9965686,2023-10-02 00:00:00,12,4,3
Cake,Takeaway,Credit Card,TXN_9991225,2023-02-03 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_1216051,2023-10-28 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_1234390,2023-06-02 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_1269252,2023-07-18 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_1388606,2023-08-31 00:00:00,9,3,3
Cake,Takeaway,Digital Wallet,TXN_1533790,2023-07-21 00:00:00,,,3
Cake,Takeaway,Digital Wallet,TXN_1602799,2023-03-23 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_1660757,2023-11-08 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_1970180,2023-08-02 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_1971865,2023-04-11 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_2104473,2023-01-01 00:00:00,9,3,3
Cake,Takeaway,Digital Wallet,TXN_2230167,2023-09-22 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_2372348,2023-01-05 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_2423167,2023-06-29 00:00:00,9,3,3
Cake,Takeaway,Digital Wallet,TXN_2470530,2023-03-21 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_2501656,2023-07-02 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_2544724,2023-12-28 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_2559020,2023-07-20 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_2878078,2023-12-15 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_3648327,2023-08-17 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_3752448,2023-05-16 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_3971440,2023-10-22 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_4060538,2023-09-08 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_4077799,2023-08-12 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_4486700,2023-02-08 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_4740892,2023-11-19 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_4837447,2023-11-06 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_4959078,2023-09-13 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_4988665,2023-12-16 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_5139074,2023-11-16 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_5301926,2023-11-13 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_5347338,2023-07-04 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_5685028,2023-08-12 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_5722123,2023-11-23 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_6145837,2023-08-27 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_6204081,2023-07-12 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_6304285,2023-11-16 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_6309965,2023-06-14 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_6345619,2023-12-09 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_6360436,2023-09-13 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_6377838,2023-02-19 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_6513163,2023-04-01 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_6621007,2023-03-05 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_6880338,2023-11-06 00:00:00,9,3,3
Cake,Takeaway,Digital Wallet,TXN_7907259,2023-10-19 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_7939659,2023-07-26 00:00:00,9,3,3
Cake,Takeaway,Digital Wallet,TXN_8007337,2023-11-01 00:00:00,6,2,3
Cake,Takeaway,Digital Wallet,TXN_8066306,2023-01-07 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_8465274,2023-02-01 00:00:00,9,3,3
Cake,Takeaway,Digital Wallet,TXN_8859035,2023-01-19 00:00:00,9,3,3
Cake,Takeaway,Digital Wallet,TXN_8859144,2023-01-15 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_8970187,2023-03-13 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_8982764,2023-11-23 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_8999576,2023-04-09 00:00:00,15,5,3
Cake,Takeaway,Digital Wallet,TXN_9061106,2023-11-04 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_9061471,2023-07-13 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_9134335,2023-01-30 00:00:00,9,3,3
Cake,Takeaway,Digital Wallet,TXN_9152264,2023-03-15 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_9157460,2023-01-23 00:00:00,12,4,3
Cake,Takeaway,Digital Wallet,TXN_9368550,2023-09-26 00:00:00,9,3,3
Cake,Takeaway,Digital Wallet,TXN_9567915,2023-06-30 00:00:00,3,1,3
Cake,Takeaway,Digital Wallet,TXN_9869593,2023-10-03 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_1030539,2023-11-06 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_1296879,2023-11-17 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_1344947,2023-02-16 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_1390754,2023-11-08 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_1446862,2023-09-26 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_1523626,2023-07-21 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_1603563,2023-04-13 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_1610204,2023-02-19 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_1667192,2023-07-17 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_1893337,2023-05-16 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_1901729,2023-03-18 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_1952465,2023-06-11 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_2085992,2023-05-15 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_2177436,2023-03-13 00:00:00,,,3
Cake,Takeaway,UNKNOWN,TXN_2336248,2023-10-19 00:00:00,,,3
Cake,Takeaway,UNKNOWN,TXN_2340312,2023-07-30 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_2353057,2023-08-04 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_2548248,2023-06-28 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_2580487,2023-01-13 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_2668838,2023-05-11 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_2721997,2023-05-20 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_2731270,2023-05-31 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_2862856,2023-02-01 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_2893987,2023-05-31 00:00:00,,4,
Cake,Takeaway,UNKNOWN,TXN_2955691,2023-04-04 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_2964794,2023-03-09 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_3207254,2023-04-25 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_3233221,2023-06-15 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_3412484,2023-09-06 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_3442244,2023-05-13 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_3463281,2023-10-06 00:00:00,,5,
Cake,Takeaway,UNKNOWN,TXN_3519066,2023-11-08 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_3578141,2023-06-27 00:00:00,,5,
Cake,Takeaway,UNKNOWN,TXN_3688181,2023-08-23 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_3781240,2023-05-27 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_3872616,2023-10-23 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_3886177,2023-07-17 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_4256155,2023-04-06 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_4837909,2023-11-19 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_4912458,2023-06-12 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_5115009,2023-02-21 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_5179020,2023-06-18 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_5508573,2023-12-17 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_5520841,2023-09-04 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_5585601,2023-05-28 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_5590805,2023-01-25 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_5661147,2023-11-06 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_5674503,2023-12-14 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_5680629,2023-04-30 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_5882566,2023-07-09 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_5993677,2023-01-28 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_6124342,2023-09-14 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_6376329,2023-03-30 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_6383336,2023-01-21 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_6428745,2023-06-02 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_6441650,2023-09-06 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_6696619,2023-03-19 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_6706599,2023-09-20 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_6738716,2023-04-21 00:00:00,,,3
Cake,Takeaway,UNKNOWN,TXN_6857943,2023-01-08 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_7063124,2023-04-10 00:00:00,,1,
Cake,Takeaway,UNKNOWN,TXN_7084298,2023-02-18 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_7185724,2023-05-06 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_7191245,2023-05-22 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_7550103,2023-01-19 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_7644000,2023-02-07 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_7742742,2023-09-05 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_7970325,2023-03-13 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_8020606,2023-10-10 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_8046087,2023-04-15 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_8099424,2023-04-02 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_8140560,2023-06-29 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_8155535,2023-03-13 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_8267031,2023-03-28 00:00:00,,,3
Cake,Takeaway,UNKNOWN,TXN_8295765,2023-04-05 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_8526084,2023-03-05 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_8545707,2023-02-14 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_8588231,2023-09-02 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_8822610,2023-08-05 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_8879936,2023-07-25 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_9011816,2023-04-02 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_9063887,2023-07-15 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_9208629,2023-03-30 00:00:00,3,1,3
Cake,Takeaway,UNKNOWN,TXN_9288207,2023-05-16 00:00:00,12,4,3
Cake,Takeaway,UNKNOWN,TXN_9323513,2023-05-04 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_9415451,2023-01-04 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_9470612,2023-04-30 00:00:00,9,3,3
Cake,Takeaway,UNKNOWN,TXN_9684465,2023-02-15 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_9786525,2023-02-19 00:00:00,15,5,3
Cake,Takeaway,UNKNOWN,TXN_9810604,2023-04-02 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_9849760,2023-09-01 00:00:00,6,2,3
Cake,Takeaway,UNKNOWN,TXN_9921277,2023-01-29 00:00:00,,,3
Cake,Takeaway,UNKNOWN,TXN_9948425,2023-11-21 00:00:00,9,3,3
Coffee,Takeaway,Cash,TXN_1040764,2023-07-27 00:00:00,6,3,2
Coffee,Takeaway,Cash,TXN_1105589,2023-07-04 00:00:00,10,5,2
Coffee,Takeaway,Cash,TXN_1172121,2023-08-26 00:00:00,10,5,2
Coffee,Takeaway,Cash,TXN_1285279,2023-04-09 00:00:00,4,2,2
Coffee,Takeaway,Cash,TXN_1445532,2023-03-03 00:00:00,6,3,2
Coffee,Takeaway,Cash,TXN_1464150,2023-02-14 00:00:00,10,5,2
Coffee,Takeaway,Cash,TXN_1512185,2023-06-16 00:00:00,8,4,2
Coffee,Takeaway,Cash,TXN_1576076,2023-10-07 00:00:00,6,3,2
Coffee,Takeaway,Cash,TXN_1610137,2023-04-02 00:00:00,6,3,2
Coffee,Takeaway,Cash,TXN_1670597,2023-05-21 00:00:00,4,2,2
Coffee,Takeaway,Cash,TXN_1701798,2023-07-24 00:00:00,4,2,2
Coffee,Takeaway,Cash,TXN_1728644,2023-04-07 00:00:00,2,1,2
Coffee,Takeaway,Cash,TXN_2204457,2023-01-06 00:00:00,8,4,2
Coffee,Takeaway,Cash,TXN_2206639,2023-06-29 00:00:00,8,4,2
Coffee,Takeaway,Cash,TXN_2363378,2023-04-23 00:00:00,10,5,2
Coffee,Takeaway,Cash,TXN_2385697,2023-09-10 00:00:00,2,1,2
Coffee,Takeaway,Cash,TXN_2838958,2023-03-10 00:00:00,2,1,2
